TID,Item
T56,curd
T56,yogurt
T56,pastry
T57,packaged fruit
T57,vegetables
T57,brown bread
T57,canned beer
T58,rolls
T58,buns
T58,oil
T58,bottled water
T58,chewing gum
T58,chocolate marshmallow
T58,hygiene articles
T58,napkins
T59,ham
T59,beef
T59,whipped
T59,sour cream
T59,ice cream
T59,rolls
T59,buns
T59,cat food
T60,rolls
T60,buns
T60,pastry
T60,sugar
T61,other vegetables
T61,whole milk
T61,frozen vegetables
T61,canned fish
T61,salty snack
T61,seasonal products
T61,detergent
T62,sausage
T62,pastry
T63,sausage
T63,beef
T63,whole milk
T64,frankfurter
T64,tropical fruit
T64,rolls
T64,buns
T64,brown bread
T64,sugar
T65,rolls
T65,buns
T65,pastry
T65,soda
T66,whole milk
T67,curd cheese
T67,coffee
T68,red
T68,blush wine
T68,newspapers
T69,sausage
T69,whole milk
T69,curd
T70,tropical fruit
T70,pip fruit
T70,berries
T70,whole milk
T70,frozen potato products
T70,rolls
T70,buns
T70,pickled vegetables
T70,chocolate
T71,red
T71,blush wine
T72,whole milk
T72,butter
T72,margarine
T72,specialty fat
T72,specialty chocolate
T72,candles
T72,flower (seeds)
T73,frankfurter
T73,citrus fruit
T73,whole milk
T73,domestic eggs
T73,oil
T73,sparkling wine
T73,specialty chocolate
T73,newspapers
T74,whole milk
T74,meat spreads
T74,soda
T75,frozen potato products
T76,other vegetables
T76,whole milk
T76,rolls
T76,buns
T76,sugar
T77,citrus fruit
T77,whole milk
T77,curd
T77,butter milk
T77,pastry
T78,flour
T78,salt
T78,bottled water
T78,fruit
T78,vegetable juice
T78,bottled beer
T79,sugar
T79,bottled water
T79,soda
T79,bottled beer
T80,frozen meals
T80,coffee
T81,chocolate
T82,root vegetables
T82,whole milk
T82,frozen vegetables
T82,domestic eggs
T82,rolls
T82,buns
T82,oil
T82,margarine
T82,canned vegetables
T82,fruit
T82,vegetable juice
T82,bathroom cleaner
T83,root vegetables
T83,onions
T83,hard cheese
T83,frozen vegetables
T84,herbs
T84,condensed milk
T84,frozen vegetables
T84,salt
T84,oil
T84,white wine
T84,candles
T85,bottled water
T86,sausage
T86,root vegetables
T86,onions
T86,yogurt
T86,rolls
T86,buns
T86,brandy
T86,detergent
T87,coffee
T87,newspapers
T88,pork
T88,other vegetables
T88,whipped
T88,sour cream
T89,berries
T89,yogurt
T90,soda
T91,berries
T92,fruit
T92,vegetable juice
T92,salty snack
T92,candles
T93,citrus fruit
T93,butter milk
T93,yogurt
T93,cream cheese 
T94,pork
T94,hamburger meat
T94,citrus fruit
T94,berries
T94,onions
T94,whipped
T94,sour cream
T94,rice
T94,coffee
T94,chocolate
T95,detergent
T96,grapes
T96,photo
T96,film
T97,sausage
T97,sliced cheese
T97,rolls
T97,buns
T97,brown bread
T97,fruit
T97,vegetable juice
T97,canned beer
T97,red
T97,blush wine
T97,waffles
T97,shopping bags
T98,chicken
T98,hamburger meat
T98,citrus fruit
T98,tropical fruit
T98,root vegetables
T98,other vegetables
T98,butter
T98,pasta
T98,oil
T98,detergent
T99,whole milk
T99,yogurt
T99,brown bread
T100,citrus fruit
T100,tropical fruit
T101,soda
T101,misc. beverages
T102,sausage
T102,pork
T102,grapes
T102,whole milk
T102,rolls
T102,buns
T102,pastry
T102,soda
T102,specialty bar
T102,bathroom cleaner
T103,frankfurter
T103,rolls
T103,buns
T103,bottled water
T104,sausage
T104,whole milk
T104,yogurt
T104,coffee
T104,fruit
T104,vegetable juice
T104,bottled beer
T104,softener
T104,napkins
T104,photo
T104,film
T104,shopping bags
T105,soda
T106,rolls
T106,buns
T106,fruit
T106,vegetable juice
T107,beef
T107,citrus fruit
T107,berries
T107,root vegetables
T107,brown bread
T107,detergent
T108,whole milk
T108,whipped
T108,sour cream
T108,rolls
T108,buns
T108,soda
T108,waffles
T108,candy
T108,cling film
T108,bags
T109,processed cheese
T110,tropical fruit
T110,pip fruit
T111,frankfurter
T111,sausage
T111,root vegetables
T111,other vegetables
T111,rolls
T111,buns
T111,oil
T111,pickled vegetables
T111,bottled beer
T111,chewing gum
T111,dishes
T112,packaged fruit
T112,vegetables
T112,bottled water
T113,whole milk
T113,dessert
T113,frozen vegetables
T113,rolls
T113,buns
T113,margarine
T113,bottled water
T113,red
T113,blush wine
T113,newspapers
T114,berries
T114,whipped
T114,sour cream
T115,citrus fruit
T115,berries
T115,UHT-milk
T115,processed cheese
T116,tropical fruit
T116,whole milk
T116,yogurt
T117,hamburger meat
T117,whole milk
T117,frozen vegetables
T117,rolls
T117,buns
T117,bottled beer
T117,sparkling wine
T118,hamburger meat
T118,other vegetables
T118,whole milk
T118,frozen vegetables
T118,domestic eggs
T118,soda
T118,dishes
T119,whole milk
T119,cream cheese 
T119,soda
T120,fish
T120,other vegetables
T120,pastry
T120,margarine
T120,coffee
T120,long life bakery product
T120,male cosmetics
T120,shopping bags
T121,frankfurter
T121,sausage
T121,long life bakery product
T121,waffles
T122,packaged fruit
T122,vegetables
T122,dessert
T122,semi-finished bread
T122,canned beer
T123,pastry
T123,soda
T124,other vegetables
T124,red
T124,blush wine
T125,misc. beverages
T126,frankfurter
T126,sausage
T126,citrus fruit
T126,tropical fruit
T126,pip fruit
T126,whole milk
T126,hard cheese
T126,cream cheese 
T126,domestic eggs
T126,rice
T126,sugar
T126,canned fruit
T126,misc. beverages
T126,fruit
T126,vegetable juice
T126,hygiene articles
T127,sparkling wine
T128,specialty bar
T129,sausage
T129,butter milk
T129,rolls
T129,buns
T130,curd cheese
T131,frankfurter
T131,dessert
T132,whole milk
T132,yogurt
T132,beverages
T132,brown bread
T132,shopping bags
T133,newspapers
T134,berries
T134,soda
T135,curd
T135,flour
T135,liquor (appetizer)
T136,tropical fruit
T136,other vegetables
T136,coffee
T137,soda
T138,rolls
T138,buns
T138,Instant food products
T139,canned beer
T140,canned beer
T141,frankfurter
T141,sausage
T141,whole milk
T141,rolls
T141,buns
T141,margarine
T142,other vegetables
T142,misc. beverages
T142,canned beer
T143,whole milk
T143,frozen vegetables
T144,whole milk
T145,citrus fruit
T145,butter
T145,cream cheese 
T145,white bread
T145,oil
T145,margarine
T145,newspapers
T146,frankfurter
T146,rolls
T146,buns
T147,frankfurter
T147,ham
T147,pip fruit
T147,other vegetables
T147,whole milk
T147,soft cheese
T147,frozen vegetables
T147,rolls
T147,buns
T147,sugar
T147,baking powder
T148,butter milk
T148,yogurt
T148,honey
T148,soda
T148,detergent
T149,hamburger meat
T149,citrus fruit
T149,onions
T149,rolls
T149,buns
T149,bottled water
T149,dental care
T150,pasta
T150,popcorn
T151,other vegetables
T151,whole milk
T151,meat spreads
T151,cake bar
T151,chocolate
T151,shopping bags
T152,sausage
T152,pork
T152,citrus fruit
T152,dessert
T152,white bread
T152,dishes
T152,candles
T153,rolls
T153,buns
T154,grapes
T154,other vegetables
T154,curd
T154,dessert
T154,yogurt
T154,napkins
T155,root vegetables
T155,other vegetables
T155,whole milk
T155,yogurt
T155,beverages
T155,soft cheese
T155,frozen vegetables
T155,fruit
T155,vegetable juice
T155,bottled beer
T156,coffee
T156,shopping bags
T157,popcorn
T158,whole milk
T158,rolls
T158,buns
T158,sugar
T158,bottled water
T158,soda
T159,tropical fruit
T159,other vegetables
T159,packaged fruit
T159,vegetables
T159,whole milk
T159,snack products
T160,beef
T160,herbs
T160,flour
T160,cling film
T160,bags
T160,flower soil
T160,fertilizer
T161,whole milk
T161,butter
T161,dessert
T161,rolls
T161,buns
T162,frankfurter
T162,soda
T162,chewing gum
T163,tropical fruit
T163,specialty cheese
T163,bottled water
T164,canned beer
T165,finished products
T165,other vegetables
T165,frozen vegetables
T165,bottled beer
T166,beverages
T166,soda
T167,hamburger meat
T167,root vegetables
T167,whole milk
T168,whole milk
T168,pastry
T168,long life bakery product
T169,finished products
T169,white wine
T169,shopping bags
T170,other vegetables
T171,ham
T171,tropical fruit
T171,other vegetables
T171,whole milk
T171,white bread
T171,brown bread
T171,fruit
T171,vegetable juice
T171,bottled beer
T172,other vegetables
T173,curd
T173,butter milk
T173,cocoa drinks
T173,salty snack
T173,popcorn
T174,bottled beer
T175,curd
T175,dessert
T175,soda
T175,salty snack
T175,waffles
T175,cake bar
T175,chocolate
T175,shopping bags
T176,whole milk
T176,cream cheese 
T176,cereals
T176,dog food
T177,whole milk
T177,salt
T178,dessert
T178,ice cream
T179,sausage
T179,soft cheese
T179,coffee
T180,other vegetables
T180,bottled water
T180,waffles
T180,dishes
T180,shopping bags
T181,ham
T181,whole milk
T181,rolls
T181,buns
T182,other vegetables
T182,ice cream
T183,other vegetables
T183,bottled water
T184,soda
T184,bottled beer
T184,white wine
T184,prosecco
T185,herbs
T185,candy
T186,frankfurter
T186,ham
T186,tropical fruit
T186,pip fruit
T186,root vegetables
T186,other vegetables
T186,whole milk
T186,butter
T186,curd
T186,yogurt
T186,whipped
T186,sour cream
T186,soft cheese
T186,sliced cheese
T186,cream cheese 
T186,frozen meals
T186,frozen fish
T186,domestic eggs
T186,white bread
T186,sugar
T186,cereals
T186,fruit
T186,vegetable juice
T186,bottled beer
T186,waffles
T187,rolls
T187,buns
T187,canned beer
T188,curd
T188,cream cheese 
T188,semi-finished bread
T188,zwieback
T188,cake bar
T188,specialty bar
T188,shopping bags
T189,frankfurter
T189,tropical fruit
T189,whole milk
T189,spread cheese
T189,margarine
T189,shopping bags
T190,other vegetables
T191,dog food
T192,specialty bar
T193,curd
T193,salt
T193,liquor (appetizer)
T193,detergent
T193,shopping bags
T194,frankfurter
T194,rolls
T194,buns
T195,soda
T196,beef
T196,berries
T196,root vegetables
T196,whole milk
T196,dessert
T196,spread cheese
T196,brown bread
T197,canned beer
T198,pork
T198,beef
T198,pip fruit
T198,herbs
T198,spices
T199,frankfurter
T199,citrus fruit
T199,UHT-milk
T199,margarine
T199,sugar
T200,sausage
T200,bottled beer
T200,liquor (appetizer)
T201,canned beer
T202,specialty chocolate
T203,curd
T203,rolls
T203,buns
T204,canned beer
T205,whole milk
T205,bottled water
T205,newspapers
T206,rolls
T206,buns
T206,chewing gum
T207,pork
T207,root vegetables
T207,other vegetables
T207,whole milk
T207,dishes
T208,citrus fruit
T208,pastry
T209,pot plants
T210,rolls
T210,buns
T210,pastry
T210,soda
T211,butter
T211,yogurt
T211,bottled water
T211,soda
T211,make up remover
T211,hygiene articles
T212,condensed milk
T212,sugar
T212,coffee
T212,shopping bags
T213,sausage
T213,other vegetables
T213,yogurt
T213,soda
T213,shopping bags
T214,whole milk
T214,beverages
T214,UHT-milk
T214,soda
T215,sausage
T215,pork
T215,beef
T215,whole milk
T215,rolls
T215,buns
T215,margarine
T216,beverages
T217,beverages
T217,specialty bar
T218,bottled water
T218,fruit
T218,vegetable juice
T219,newspapers
T220,cleaner
T220,female sanitary products
T221,sausage
T221,soda
T221,newspapers
T221,shopping bags
T222,newspapers
T223,sausage
T223,beef
T223,citrus fruit
T223,other vegetables
T223,whole milk
T223,butter milk
T223,whipped
T223,sour cream
T223,beverages
T223,hard cheese
T223,rolls
T223,buns
T223,dish cleaner
T223,cookware
T224,misc. beverages
T224,newspapers
T225,white wine
T226,sausage
T226,sliced cheese
T226,rolls
T226,buns
T226,soda
T226,canned beer
T226,shopping bags
T227,meat
T227,curd
T227,bottled beer
T227,cake bar
T228,frankfurter
T228,meat
T228,tropical fruit
T228,onions
T228,oil
T228,baking powder
T228,tea
T228,cling film
T228,bags
T229,ice cream
T229,rolls
T229,buns
T229,canned beer
T230,canned beer
T231,tropical fruit
T231,berries
T231,root vegetables
T231,other vegetables
T231,bottled water
T231,shopping bags
T232,meat
T232,citrus fruit
T232,other vegetables
T232,curd
T232,dessert
T232,butter milk
T232,beverages
T232,cream cheese 
T232,rolls
T232,buns
T232,brown bread
T232,tea
T232,bottled water
T233,whole milk
T233,mustard
T233,bottled water
T234,sausage
T234,beef
T234,beverages
T234,sliced cheese
T234,rolls
T234,buns
T234,spices
T234,house keeping products
T234,flower (seeds)
T235,frankfurter
T235,sausage
T235,root vegetables
T235,butter
T235,curd
T235,sliced cheese
T235,rolls
T235,buns
T235,salty snack
T235,long life bakery product
T236,meat
T236,other vegetables
T236,butter
T236,rolls
T236,buns
T237,root vegetables
T237,beverages
T237,Instant food products
T237,pickled vegetables
T237,detergent
T238,root vegetables
T238,herbs
T238,other vegetables
T238,whole milk
T238,sliced cheese
T238,rolls
T238,buns
T239,whole milk
T239,whipped
T239,sour cream
T239,semi-finished bread
T239,margarine
T240,citrus fruit
T240,whole milk
T240,curd
T240,dessert
T240,yogurt
T240,whipped
T240,sour cream
T240,frozen dessert
T240,rolls
T240,buns
T240,salt
T240,sugar
T240,cereals
T240,canned vegetables
T240,canned fish
T240,skin care
T240,hygiene articles
T240,napkins
T241,citrus fruit
T241,curd
T241,pastry
T241,margarine
T241,sugar
T241,candy
T241,newspapers
T242,other vegetables
T242,whole milk
T242,bottled water
T242,soda
T242,misc. beverages
T242,bottled beer
T242,red
T242,blush wine
T242,napkins
T243,citrus fruit
T243,whole milk
T243,rolls
T243,buns
T244,sausage
T244,oil
T244,hygiene articles
T244,napkins
T245,frankfurter
T245,beef
T245,hamburger meat
T245,grapes
T245,root vegetables
T245,whole milk
T245,butter
T245,frozen dessert
T245,potato products
T245,bottled water
T245,bottled beer
T246,hard cheese
T246,rolls
T246,buns
T246,bottled water
T246,newspapers
T247,cream cheese 
T247,rolls
T247,buns
T247,soda
T247,chocolate
T248,turkey
T248,beef
T248,frozen vegetables
T248,dishes
T248,photo
T248,film
T249,pork
T249,other vegetables
T249,whipped
T249,sour cream
T249,rolls
T249,buns
T249,soda
T249,shopping bags
T250,whole milk
T250,beverages
T251,rolls
T251,buns
T251,soda
T252,sausage
T252,pip fruit
T252,whole milk
T252,curd
T252,yogurt
T252,sliced cheese
T252,rolls
T252,buns
T252,bottled water
T252,hygiene articles
T253,ice cream
T254,liquor
T255,pip fruit
T255,other vegetables
T255,fruit
T255,vegetable juice
T256,root vegetables
T256,other vegetables
T256,yogurt
T257,soda
T258,soda
T259,sausage
T259,citrus fruit
T259,tropical fruit
T259,other vegetables
T259,whole milk
T259,yogurt
T259,rolls
T259,buns
T259,bottled water
T259,soda
T259,chocolate
T259,newspapers
T260,root vegetables
T260,whole milk
T260,pet care
T260,detergent
T261,pork
T261,berries
T261,root vegetables
T261,other vegetables
T261,pastry
T261,specialty bar
T262,pork
T263,chocolate
T264,fruit
T264,vegetable juice
T265,pickled vegetables
T265,coffee
T266,bottled water
T267,frankfurter
T267,sausage
T267,butter
T267,whipped
T267,sour cream
T267,rolls
T267,buns
T267,margarine
T267,spices
T268,tropical fruit
T268,pip fruit
T268,onions
T268,other vegetables
T268,whole milk
T268,domestic eggs
T268,sugar
T268,soups
T268,tea
T268,soda
T268,hygiene articles
T268,napkins
T269,canned beer
T270,root vegetables
T271,meat
T271,citrus fruit
T271,berries
T271,root vegetables
T271,whole milk
T271,soda
T272,frankfurter
T272,rolls
T272,buns
T272,bottled water
T272,fruit
T272,vegetable juice
T272,hygiene articles
T273,tropical fruit
T273,margarine
T273,rum
T274,tropical fruit
T274,root vegetables
T274,herbs
T274,whole milk
T274,butter milk
T274,whipped
T274,sour cream
T274,flour
T274,hygiene articles
T275,citrus fruit
T275,pip fruit
T275,root vegetables
T275,other vegetables
T275,whole milk
T275,cream cheese 
T275,domestic eggs
T275,brown bread
T275,margarine
T275,baking powder
T275,waffles
T276,hamburger meat
T276,other vegetables
T276,whole milk
T276,curd
T276,yogurt
T276,rolls
T276,buns
T276,pastry
T276,semi-finished bread
T276,margarine
T276,bottled water
T276,fruit
T276,vegetable juice
T277,chicken
T277,pip fruit
T277,other vegetables
T277,whole milk
T277,dessert
T277,yogurt
T277,whipped
T277,sour cream
T277,rolls
T277,buns
T277,pasta
T277,soda
T277,waffles
T278,chicken
T278,citrus fruit
T278,tropical fruit
T278,root vegetables
T278,whole milk
T278,frozen fish
T278,rolls
T278,buns
T279,frankfurter
T279,citrus fruit
T279,onions
T279,other vegetables
T279,whole milk
T279,rolls
T279,buns
T279,sugar
T279,soda
T280,canned beer
T281,turkey
T281,pip fruit
T281,salad dressing
T281,pastry
T282,packaged fruit
T282,vegetables
T282,whole milk
T282,curd
T282,yogurt
T282,domestic eggs
T282,brown bread
T282,mustard
T282,pickled vegetables
T282,bottled water
T282,misc. beverages
T283,pasta
T284,citrus fruit
T284,tropical fruit
T285,sausage
T285,whole milk
T285,yogurt
T285,rolls
T285,buns
T285,brown bread
T285,pot plants
T286,whole milk
T286,frozen meals
T286,pastry
T286,fruit
T286,vegetable juice
T286,waffles
T287,canned beer
T288,citrus fruit
T288,sugar
T288,sauces
T289,liquor (appetizer)
T290,citrus fruit
T290,other vegetables
T290,rolls
T290,buns
T290,salty snack
T290,shopping bags
T291,sausage
T292,chicken
T292,other vegetables
T292,whole milk
T292,vinegar
T292,oil
T292,bottled water
T292,canned beer
T292,napkins
T292,newspapers
T293,hamburger meat
T293,root vegetables
T293,other vegetables
T293,whole milk
T293,yogurt
T293,whipped
T293,sour cream
T293,specialty cheese
T293,flour
T293,margarine
T294,sausage
T294,pork
T294,other vegetables
T294,dessert
T294,yogurt
T294,oil
T294,soda
T295,beef
T295,berries
T295,root vegetables
T295,whole milk
T295,whipped
T295,sour cream
T295,abrasive cleaner
T296,citrus fruit
T296,packaged fruit
T296,vegetables
T296,yogurt
T296,bottled water
T297,UHT-milk
T297,coffee
T298,candy
T299,newspapers
T300,beef
T300,citrus fruit
T300,other vegetables
T300,yogurt
T301,sausage
T301,rolls
T301,buns
T302,frankfurter
T302,beef
T302,root vegetables
T302,curd
T302,dessert
T302,yogurt
T302,soft cheese
T302,rolls
T302,buns
T302,mustard
T302,pickled vegetables
T302,canned beer
T302,hygiene articles
T302,napkins
T303,canned beer
T304,bottled beer
T305,onions
T305,soda
T305,chewing gum
T305,chocolate
T305,newspapers
T306,tropical fruit
T306,packaged fruit
T306,vegetables
T306,cream cheese 
T306,white bread
T306,candy
T307,bottled water
T307,white wine
T308,beef
T308,white bread
T308,pastry
T308,pasta
T308,soap
T309,sausage
T309,chicken
T309,tropical fruit
T309,root vegetables
T309,whole milk
T309,yogurt
T309,candy
T309,abrasive cleaner
T309,cleaner
T310,hair spray
T311,chicken
T311,whole milk
T311,spices
T311,long life bakery product
T311,shopping bags
T312,pork
T312,citrus fruit
T312,brown bread
T312,pastry
T312,sugar
T312,cat food
T313,ice cream
T314,meat
T314,hard cheese
T314,bottled beer
T315,other vegetables
T315,yogurt
T315,brown bread
T315,instant coffee
T316,bottled water
T316,cake bar
T317,tropical fruit
T317,soda
T317,salty snack
T318,photo
T318,film
T319,sausage
T319,citrus fruit
T319,yogurt
T319,coffee
T319,soda
T319,canned beer
T319,dishes
T320,grapes
T320,root vegetables
T321,domestic eggs
T321,brown bread
T321,photo
T321,film
T322,rolls
T322,buns
T322,canned fish
T322,canned beer
T323,tropical fruit
T323,whole milk
T324,chicken
T325,frankfurter
T325,other vegetables
T325,yogurt
T325,brown bread
T325,bottled water
T326,berries
T326,root vegetables
T326,other vegetables
T326,curd
T326,butter milk
T326,cream cheese 
T326,roll products 
T326,margarine
T326,misc. beverages
T326,specialty chocolate
T326,detergent
T327,margarine
T327,hygiene articles
T328,tropical fruit
T328,yogurt
T328,rolls
T328,buns
T328,soda
T328,shopping bags
T329,ham
T329,other vegetables
T329,whipped
T329,sour cream
T329,hard cheese
T329,rolls
T329,buns
T329,soda
T329,misc. beverages
T329,chocolate
T329,candy
T330,hamburger meat
T330,white bread
T330,salty snack
T331,yogurt
T331,mayonnaise
T331,rolls
T331,buns
T331,soda
T331,napkins
T332,soda
T332,specialty chocolate
T333,yogurt
T334,soda
T335,bottled water
T336,sausage
T336,meat
T336,hamburger meat
T336,rubbing alcohol
T337,citrus fruit
T337,pip fruit
T337,beverages
T337,hard cheese
T337,pet care
T337,soda
T337,fruit
T337,vegetable juice
T337,waffles
T338,shopping bags
T339,newspapers
T340,frankfurter
T340,other vegetables
T340,whole milk
T340,curd
T340,frozen potato products
T340,zwieback
T340,specialty bar
T340,dish cleaner
T341,sausage
T341,citrus fruit
T341,whole milk
T341,canned beer
T342,frankfurter
T342,rolls
T342,buns
T343,salt
T343,salty snack
T343,cookware
T344,oil
T345,curd
T345,beverages
T345,cream cheese 
T345,rolls
T345,buns
T345,pastry
T345,soda
T345,cake bar
T345,chewing gum
T346,other vegetables
T346,butter
T346,specialty chocolate
T347,citrus fruit
T348,frankfurter
T348,whole milk
T348,butter milk
T349,root vegetables
T349,whole milk
T349,butter
T349,processed cheese
T349,mayonnaise
T349,salty snack
T350,tropical fruit
T350,whole milk
T350,frozen meals
T350,bottled beer
T351,beef
T351,hamburger meat
T351,pip fruit
T352,berries
T352,whipped
T352,sour cream
T352,cereals
T352,waffles
T352,shopping bags
T353,canned beer
T354,whipped
T354,sour cream
T354,canned beer
T354,red
T354,blush wine
T355,root vegetables
T355,domestic eggs
T355,margarine
T355,chocolate marshmallow
T355,candy
T356,whole milk
T356,soda
T357,beef
T358,frozen vegetables
T359,rolls
T359,buns
T359,bottled beer
T360,whole milk
T360,hygiene articles
T361,whole milk
T362,citrus fruit
T362,whole milk
T362,curd
T362,soft cheese
T363,pastry
T363,fruit
T363,vegetable juice
T364,frankfurter
T364,sausage
T364,pork
T364,pip fruit
T364,butter
T364,processed cheese
T364,white bread
T364,brown bread
T365,tropical fruit
T365,root vegetables
T365,whole milk
T365,whipped
T365,sour cream
T365,domestic eggs
T366,frankfurter
T366,sausage
T366,root vegetables
T366,yogurt
T366,whipped
T366,sour cream
T366,pastry
T366,napkins
T367,berries
T367,root vegetables
T367,other vegetables
T367,packaged fruit
T367,vegetables
T367,whole milk
T367,curd
T367,curd cheese
T367,cat food
T367,specialty bar
T367,detergent
T368,rolls
T368,buns
T368,brown bread
T368,pastry
T368,coffee
T368,bottled beer
T369,root vegetables
T369,packaged fruit
T369,vegetables
T369,curd
T369,dessert
T369,frozen vegetables
T369,specialty fat
T369,coffee
T370,yogurt
T371,other vegetables
T371,bottled water
T372,berries
T372,white bread
T373,berries
T373,coffee
T374,other vegetables
T374,butter milk
T374,frozen meals
T374,bottled water
T375,rolls
T375,buns
T375,newspapers
T376,ham
T376,citrus fruit
T376,whole milk
T376,whipped
T376,sour cream
T376,rolls
T376,buns
T376,pastry
T376,waffles
T376,hygiene articles
T377,whole milk
T377,frozen dessert
T377,salty snack
T377,napkins
T378,tropical fruit
T378,butter milk
T378,rolls
T378,buns
T378,bottled water
T379,bottled water
T380,butter milk
T380,yogurt
T381,newspapers
T382,coffee
T383,bottled beer
T383,liquor
T384,onions
T384,butter
T384,whipped
T384,sour cream
T384,hard cheese
T384,frozen vegetables
T384,pasta
T384,specialty fat
T384,syrup
T384,candy
T384,napkins
T384,cling film
T384,bags
T385,hamburger meat
T385,hard cheese
T385,frozen meals
T385,pasta
T385,dog food
T385,salty snack
T385,shopping bags
T386,sausage
T386,liver loaf
T386,other vegetables
T386,cream cheese 
T386,pastry
T386,soap
T386,shopping bags
T387,hard cheese
T387,pastry
T387,napkins
T388,sausage
T388,tropical fruit
T388,condensed milk
T388,rolls
T388,buns
T389,hamburger meat
T390,onions
T390,whole milk
T390,beverages
T390,frozen dessert
T391,coffee
T392,shopping bags
T393,yogurt
T393,rolls
T393,buns
T393,pastry
T393,bottled water
T393,soda
T393,shopping bags
T394,soda
T395,sliced cheese
T396,sausage
T396,whole milk
T396,coffee
T397,yogurt
T397,chocolate
T398,domestic eggs
T398,rolls
T398,buns
T398,dish cleaner
T398,hygiene articles
T399,whole milk
T400,meat
T400,other vegetables
T400,whole milk
T400,whipped
T400,sour cream
T401,dish cleaner
T401,bathroom cleaner
T401,hygiene articles
T401,napkins
T402,other vegetables
T402,red
T402,blush wine
T403,whole milk
T403,butter milk
T403,yogurt
T403,sliced cheese
T403,rolls
T403,buns
T403,sweet spreads
T403,coffee
T403,fruit
T403,vegetable juice
T403,long life bakery product
T403,shopping bags
T404,other vegetables
T404,whole milk
T404,rolls
T404,buns
T404,Instant food products
T405,tropical fruit
T405,other vegetables
T406,baking powder
T406,bottled water
T406,salty snack
T406,chewing gum
T407,specialty bar
T408,ice cream
T409,frankfurter
T409,yogurt
T410,canned beer
T411,bottled water
T412,other vegetables
T412,whole milk
T412,rolls
T412,buns
T412,margarine
